comm_id,student_id,channel,subject,sent_date,status,responded,response_date
COM00001,STU0003,sms,We noticed you missed class today,2025-03-01,No response,False,
COM00002,STU0003,meeting,Tutor catch-up meeting,2025-03-19,Attended,True,2025-03-20
COM00003,STU0004,email,We've noticed you missed class - are you OK?,2025-03-06,Sent,False,
COM00004,STU0004,phone,Tutor check-in call,2025-03-10,No answer,False,
COM00005,STU0004,email,Attendance reminder,2025-03-16,No response,False,
COM00006,STU0005,email,Attendance reminder,2025-02-27,Sent,False,
COM00007,STU0005,phone,Tutor check-in call,2025-03-12,Answered,True,2025-03-12
COM00008,STU0006,sms,Quick check-in - drop by office hours?,2025-03-16,Sent,False,
COM00009,STU0007,in_person,Class chat,2025-02-22,Conversation held,True,2025-02-24
COM00010,STU0007,sms,Office hours running today - come by,2025-03-18,Sent,False,
COM00011,STU0007,email,We've noticed you missed class - are you OK?,2025-03-20,Opened,False,
COM00012,STU0010,phone,Tutor check-in call,2025-02-22,Voicemail,False,
COM00013,STU0010,email,Assessment support is available,2025-03-02,No response,False,
COM00014,STU0010,sms,Quick check-in - drop by office hours?,2025-03-18,No response,False,
COM00015,STU0013,email,Wellbeing check-in,2025-03-04,No response,False,
COM00016,STU0013,email,We've noticed you missed class - are you OK?,2025-03-14,Sent,False,
COM00017,STU0013,sms,Office hours running today - come by,2025-03-18,No response,False,
COM00018,STU0014,email,Assessment support is available,2025-02-27,No response,False,
COM00019,STU0015,phone,Catch-up call,2025-03-16,Voicemail,False,
COM00020,STU0015,meeting,1:1 retention meeting,2025-03-19,Attended,True,2025-03-21
COM00021,STU0015,email,We've noticed you missed class - are you OK?,2025-03-19,No response,False,
COM00022,STU0017,email,Attendance reminder,2025-02-24,Sent,False,
COM00023,STU0017,email,Wellbeing check-in,2025-03-08,No response,False,
COM00024,STU0020,email,Assessment support is available,2025-02-25,Replied,True,2025-02-28
COM00025,STU0025,sms,Quick check-in - drop by office hours?,2025-03-13,Sent,False,
COM00026,STU0025,phone,Welfare call from your personal tutor,2025-03-22,No answer,False,
COM00027,STU0027,sms,Quick check-in - drop by office hours?,2025-03-02,No response,False,
COM00028,STU0028,email,We've noticed you missed class - are you OK?,2025-02-21,Sent,False,
COM00029,STU0028,email,Attendance reminder,2025-02-28,No response,False,
COM00030,STU0028,email,Wellbeing check-in,2025-03-01,Sent,False,
COM00031,STU0028,sms,We noticed you missed class today,2025-03-04,Sent,False,
COM00032,STU0028,email,Engagement check-in,2025-03-08,No response,False,
COM00033,STU0028,email,Resources to help you catch up,2025-03-17,No response,False,
COM00034,STU0029,sms,Office hours running today - come by,2025-03-21,Sent,False,
COM00035,STU0031,in_person,Corridor catch-up,2025-02-26,Conversation held,True,2025-02-28
COM00036,STU0032,email,Attendance reminder,2025-02-25,Sent,False,
COM00037,STU0033,sms,We noticed you missed class today,2025-02-22,No response,False,
COM00038,STU0033,phone,Tutor check-in call,2025-02-25,No answer,False,
COM00039,STU0033,email,Wellbeing check-in,2025-03-12,Sent,False,
COM00040,STU0033,sms,Office hours running today - come by,2025-03-19,Sent,False,
COM00041,STU0037,sms,We noticed you missed class today,2025-02-26,Sent,False,
COM00042,STU0037,sms,Office hours running today - come by,2025-02-26,No response,False,
COM00043,STU0037,email,Attendance reminder,2025-03-09,Sent,False,
COM00044,STU0037,sms,Quick check-in - drop by office hours?,2025-03-20,Sent,False,
COM00045,STU0037,phone,Welfare call from your personal tutor,2025-03-21,Answered,True,2025-03-22
COM00046,STU0043,email,Attendance reminder,2025-03-09,Opened,False,
COM00047,STU0043,email,Wellbeing check-in,2025-03-10,Opened,False,
COM00048,STU0044,email,Resources to help you catch up,2025-03-09,Sent,False,
COM00049,STU0044,email,Engagement check-in,2025-03-15,No response,False,
COM00050,STU0045,email,Attendance reminder,2025-02-28,Opened,False,
COM00051,STU0045,email,We've noticed you missed class - are you OK?,2025-03-19,No response,False,
COM00052,STU0046,email,We've noticed you missed class - are you OK?,2025-03-08,Sent,False,
COM00053,STU0046,phone,Catch-up call,2025-03-17,Voicemail,False,
COM00054,STU0047,email,Attendance reminder,2025-02-28,No response,False,
COM00055,STU0049,email,Wellbeing check-in,2025-03-22,Opened,False,
COM00056,STU0052,email,Attendance reminder,2025-02-24,No response,False,
COM00057,STU0052,email,Engagement check-in,2025-03-14,No response,False,
COM00058,STU0054,email,We've noticed you missed class - are you OK?,2025-03-18,Opened,False,
COM00059,STU0056,email,Engagement check-in,2025-03-04,No response,False,
COM00060,STU0060,email,Attendance reminder,2025-03-13,Sent,False,
COM00061,STU0060,phone,Tutor check-in call,2025-03-13,No answer,False,
COM00062,STU0061,sms,Quick check-in - drop by office hours?,2025-03-15,No response,False,
COM00063,STU0064,email,Resources to help you catch up,2025-03-03,Opened,False,
COM00064,STU0066,sms,Quick check-in - drop by office hours?,2025-03-16,Sent,False,
COM00065,STU0066,sms,Office hours running today - come by,2025-03-16,Sent,False,
COM00066,STU0068,email,Attendance reminder,2025-03-22,Sent,False,
COM00067,STU0069,email,We've noticed you missed class - are you OK?,2025-03-01,Sent,False,
COM00068,STU0069,email,Resources to help you catch up,2025-03-01,Opened,False,
COM00069,STU0069,meeting,Wellbeing meeting,2025-03-16,Attended,True,2025-03-17
COM00070,STU0070,in_person,Class chat,2025-03-07,Conversation held,True,2025-03-10
COM00071,STU0070,sms,Quick check-in - drop by office hours?,2025-03-09,Sent,False,
COM00072,STU0071,phone,Tutor check-in call,2025-02-28,No answer,False,
COM00073,STU0071,phone,Welfare call from your personal tutor,2025-03-10,Answered,True,2025-03-13
COM00074,STU0071,email,Assessment support is available,2025-03-15,Replied,True,2025-03-17
COM00075,STU0071,email,Assessment support is available,2025-03-21,Replied,True,2025-03-22
COM00076,STU0072,in_person,Corridor catch-up,2025-03-07,Conversation held,True,2025-03-07
COM00077,STU0073,email,Wellbeing check-in,2025-03-08,No response,False,
COM00078,STU0073,email,Attendance reminder,2025-03-10,Opened,False,
COM00079,STU0074,sms,We noticed you missed class today,2025-03-06,Sent,False,
COM00080,STU0074,meeting,1:1 retention meeting,2025-03-15,Attended,True,2025-03-18
COM00081,STU0077,email,Engagement check-in,2025-03-10,Opened,False,
COM00082,STU0077,email,Assessment support is available,2025-03-18,No response,False,
COM00083,STU0078,phone,Catch-up call,2025-03-05,Answered,True,2025-03-07
COM00084,STU0078,meeting,Tutor catch-up meeting,2025-03-13,No-show,False,
COM00085,STU0078,phone,Tutor check-in call,2025-03-13,Answered,True,2025-03-15
COM00086,STU0080,email,Assessment support is available,2025-02-23,Sent,False,
COM00087,STU0087,email,Assessment support is available,2025-02-25,Replied,True,2025-02-28
COM00088,STU0090,email,Engagement check-in,2025-03-04,No response,False,
COM00089,STU0095,email,We've noticed you missed class - are you OK?,2025-03-02,Sent,False,
COM00090,STU0099,email,Engagement check-in,2025-03-21,No response,False,
COM00091,STU0103,meeting,1:1 retention meeting,2025-02-25,Attended,True,2025-02-28
COM00092,STU0103,meeting,Wellbeing meeting,2025-02-28,Rescheduled,False,
COM00093,STU0103,email,We've noticed you missed class - are you OK?,2025-03-14,No response,False,
COM00094,STU0104,email,Resources to help you catch up,2025-03-13,Sent,False,
COM00095,STU0105,in_person,Class chat,2025-02-21,Conversation held,True,2025-02-21
COM00096,STU0107,email,Assessment support is available,2025-03-03,No response,False,
COM00097,STU0107,sms,We noticed you missed class today,2025-03-05,No response,False,
COM00098,STU0107,email,We've noticed you missed class - are you OK?,2025-03-15,No response,False,
COM00099,STU0107,phone,Tutor check-in call,2025-03-21,No answer,False,
COM00100,STU0112,email,Engagement check-in,2025-03-14,Replied,True,2025-03-17
COM00101,STU0114,phone,Catch-up call,2025-02-22,Voicemail,False,
COM00102,STU0114,email,Assessment support is available,2025-03-17,Opened,False,
COM00103,STU0114,email,We've noticed you missed class - are you OK?,2025-03-22,No response,False,
COM00104,STU0116,sms,Office hours running today - come by,2025-03-06,Sent,False,
COM00105,STU0118,email,Attendance reminder,2025-02-25,Sent,False,
COM00106,STU0118,email,Assessment support is available,2025-03-13,No response,False,
