action_id,triggered_on,student_id,severity,rule_id,rule_name,action,route_to,policy_basis,rationale,withdraw_prob_at_trigger,fail_prob_at_trigger,top_driver_withdraw,top_driver_fail,status
ACT00001,2025-03-22,STU0168,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 61.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.6162,0.8375,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00002,2025-03-22,STU0557,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 59.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5964,0.8372,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00003,2025-03-22,STU0382,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 59.4% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.594,0.8356,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00004,2025-03-22,STU0491,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 59.2% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5923,0.8365,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00005,2025-03-22,STU0070,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 59.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5895,0.8366,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00006,2025-03-22,STU0600,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 58.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.588,0.8358,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00007,2025-03-22,STU0408,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 58.5% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5853,0.8353,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00008,2025-03-22,STU0127,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 57.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5793,0.8293,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00009,2025-03-22,STU0186,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 57.3% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5733,0.8375,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00010,2025-03-22,STU0028,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 57.3% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5729,0.8378,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00011,2025-03-22,STU0395,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 57.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5699,0.8372,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00012,2025-03-22,STU0519,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 56.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5688,0.8376,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00013,2025-03-22,STU0562,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 56.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5679,0.8279,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00014,2025-03-22,STU0471,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 56.1% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.5611,0.8378,Recent attendance (4-week avg),Past interventions received,Pending
ACT00015,2025-03-22,STU0499,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 56.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.56,0.8222,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00016,2025-03-22,STU0234,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 55.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5589,0.8208,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00017,2025-03-22,STU0150,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 55.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.558,0.8383,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00018,2025-03-22,STU0223,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 55.7% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.557,0.8374,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00019,2025-03-22,STU0013,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 55.5% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5554,0.8375,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00020,2025-03-22,STU0433,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 55.2% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.5517,0.8367,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00021,2025-03-22,STU0078,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 54.9% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.5489,0.8379,Recent attendance (4-week avg),Past interventions received,Pending
